,idx_A,reg_A,mod_A,idx_B,reg_B,mod_B,multi-center,abs_multi-center,connectivity
58,58,FUSgyr_dl,5_FPnet_VISDN,76,AMY,4_LIMnet,-0.08595482564424244,0.08595482564424244,FUSgyr_dl - AMY
59,60,R_IPlob,5_FPnet_VISDN,83,MOTnet_ml,6_MOTnet,-0.018109012693673324,0.018109012693673324,R_IPlob - MOTnet_ml
60,60,R_IPlob,5_FPnet_VISDN,94,IMsul,3_VATTnet_SALnet_BG_THAL,0.04754640266556607,0.04754640266556607,R_IPlob - IMsul
61,60,R_IPlob,5_FPnet_VISDN,95,STgyr_p,3_VATTnet_SALnet_BG_THAL,-0.052488870095532776,0.052488870095532776,R_IPlob - STgyr_p
62,61,R_FP_l,5_FPnet_VISDN,120,VVISnet_l,8_VISnet,-0.00501792690775557,0.00501792690775557,R_FP_l - VVISnet_l
63,65,L_MFgyr_a,5_FPnet_VISDN,69,LORBgyr,4_LIMnet,0.16331955661752856,0.16331955661752856,L_MFgyr_a - LORBgyr
64,66,DVIS_vl,5_FPnet_VISDN,68,COLsul,4_LIMnet,0.01363570665282819,0.01363570665282819,DVIS_vl - COLsul
65,67,CAUDNH_NACC,4_LIMnet,84,MOTnet_vl,6_MOTnet,0.08033283524050396,0.08033283524050396,CAUDNH_NACC - MOTnet_vl
66,68,COLsul,4_LIMnet,84,MOTnet_vl,6_MOTnet,-0.043420202932238236,0.043420202932238236,COLsul - MOTnet_vl
67,72,MORBgyr,4_LIMnet,109,CAUDN,3_VATTnet_SALnet_BG_THAL,0.00012264297628777047,0.00012264297628777047,MORBgyr - CAUDN
68,73,PINS_v,4_LIMnet,111,MDVISnet_p,8_VISnet,0.010707880080198849,0.010707880080198849,PINS_v - MDVISnet_p
69,74,TP,4_LIMnet,109,CAUDN,3_VATTnet_SALnet_BG_THAL,-0.020964902815326758,0.020964902815326758,TP - CAUDN
70,74,TP,4_LIMnet,120,VVISnet_l,8_VISnet,-0.003145364660404757,0.003145364660404757,TP - VVISnet_l
71,75,HIPP,4_LIMnet,121,LVISnet_DP,8_VISnet,-0.01943708584859121,0.01943708584859121,HIPP - LVISnet_DP
72,77,PIsul,4_LIMnet,110,PVISnet_l,8_VISnet,-0.00535797262158092,0.00535797262158092,PIsul - PVISnet_l
73,79,L_MOTnet_dl,6_MOTnet,93,PCsul_d,3_VATTnet_SALnet_BG_THAL,0.0029326035942324295,0.0029326035942324295,L_MOTnet_dl - PCsul_d
74,82,MOTnet_m,6_MOTnet,83,MOTnet_ml,6_MOTnet,0.016696517782872077,0.016696517782872077,MOTnet_m - MOTnet_ml
75,82,MOTnet_m,6_MOTnet,114,MVISnet_p,8_VISnet,-0.006288436010796952,0.006288436010796952,MOTnet_m - MVISnet_p
76,82,MOTnet_m,6_MOTnet,116,LVISnet_p,8_VISnet,0.07172726517861497,0.07172726517861497,MOTnet_m - LVISnet_p
77,88,PUT_p,3_VATTnet_SALnet_BG_THAL,95,STgyr_p,3_VATTnet_SALnet_BG_THAL,0.0024173205300479133,0.0024173205300479133,PUT_p - STgyr_p
78,89,AINS_pd,3_VATTnet_SALnet_BG_THAL,97,PUT_a,3_VATTnet_SALnet_BG_THAL,-0.009415932886007033,0.009415932886007033,AINS_pd - PUT_a
79,89,AINS_pd,3_VATTnet_SALnet_BG_THAL,111,MDVISnet_p,8_VISnet,-0.004664239230548987,0.004664239230548987,AINS_pd - MDVISnet_p
80,91,AINS_v,3_VATTnet_SALnet_BG_THAL,119,MVISnet_ad,8_VISnet,-0.0837766620905147,0.0837766620905147,AINS_v - MVISnet_ad
81,92,FEF,3_VATTnet_SALnet_BG_THAL,94,IMsul,3_VATTnet_SALnet_BG_THAL,0.016331841798388168,0.016331841798388168,FEF - IMsul
82,95,STgyr_p,3_VATTnet_SALnet_BG_THAL,121,LVISnet_DP,8_VISnet,0.03278422769255383,0.03278422769255383,STgyr_p - LVISnet_DP
83,102,THAL_d,3_VATTnet_SALnet_BG_THAL,107,PCcor.1,3_VATTnet_SALnet_BG_THAL,0.030909527591004394,0.030909527591004394,THAL_d - PCcor.1
84,103,THAL_v,3_VATTnet_SALnet_BG_THAL,105,PINS_d,3_VATTnet_SALnet_BG_THAL,0.09714474519023769,0.09714474519023769,THAL_v - PINS_d
